x,y,chainage_m,dist_m,dh_m,reliability
332813,3124381,29219,6052,6.26,28
332973,3124381,29219,5893,-19.47,20
333213,3124381,29219,5654,-0.53,64
333373,3124381,29219,5495,-0.55,57
333693,3124381,29219,5177,-0.88,51
333773,3124381,29219,5097,-0.38,24
333853,3124381,29219,5018,-0.40,69
334093,3124381,29219,4780,6.12,13
334253,3124381,29641,4620,-0.53,69
334333,3124381,29641,4540,-0.54,75
334413,3124381,29641,4460,-0.29,50
334493,3124381,29641,4380,-13.93,51
334573,3124381,29641,4300,25.52,33
334733,3124381,29641,4141,-0.49,69
334813,3124381,29641,4061,-0.75,73
334893,3124381,29641,3981,-0.72,24
335373,3124381,29641,3502,-0.12,45
335613,3124381,29641,3262,-0.11,31
335693,3124381,29641,3182,-0.17,36
335773,3124381,29641,3102,-0.35,29
335853,3124381,29641,3023,-0.30,72
335933,3124381,29641,2943,-0.90,31
336013,3124381,29641,2863,-0.15,38
336333,3124381,29641,2544,-0.59,33
336413,3124381,29641,2464,-0.11,22
336493,3124381,29641,2385,-0.63,46
336573,3124381,29641,2305,-0.26,78
336733,3124381,29641,2146,-5.50,57
336813,3124381,29641,2066,-0.40,15
337533,3124381,29641,1352,0.14,35
337693,3124381,29641,1194,7.93,63
337773,3124381,29641,1116,-0.43,59
337853,3124381,29641,1037,-0.49,36
338093,3124381,29641,804,2.92,17
338813,3124381,29906,118,21.56,20
